Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
26.87048917,-174.8049927,209.8090057,-115.6579895,296.5693425
26.88740552,-178.095993,212.0550079,-118.8739929,301.3578194
26.90730387,-181.6889954,220.2339935,-121.7129974,310.3674543
26.92733625,-183.8630066,223.8209991,-124.3479919,315.2203483
26.94738744,-189.3670044,226.3529816,-130.3299866,322.6165526
26.96732337,-192.279007,231.8419952,-132.1360168,328.9101005
26.98748248,-189.5189972,233.4749908,-136.7709961,330.3548502
27.00746837,-188.4550018,239.0899811,-135.7820129,333.3407593
27.02746725,-191.5070038,245.0570221,-137.2740173,339.9588687
27.04742167,-187.8820038,250.6580048,-132.2749939,340.0378754
27.06740952,-185.3200073,251.9870148,-135.3659973,340.8297434
27.0875471,-184.2890015,254.1289825,-136.9709778,342.4982111
27.10735429,-182.2619934,257.6329956,-140.1490173,345.3055773
27.12731164,-182.2250061,260.1900024,-143.6139832,348.6111966
27.14734475,-184.0899963,269.1029663,-153.45401,360.3521422
27.16731048,-185.1600037,280.5409546,-158.5090027,371.6349796
27.18733256,-189.4570007,287.4419556,-166.7740173,382.5315749
27.20735729,-195.7700043,297.8779907,-175.5160217,397.3198533
27.2274269,-192.3410034,310.6099854,-183.9320068,409.0288593
27.24731652,-197.621994,323.8980103,-190.6490173,424.6309237
27.26740144,-201.6499939,336.3869629,-203.1239929,441.6766525
27.28734787,-208.4570007,366.7529907,-230.4109802,480.6779558
27.30735863,-212.3840027,383.0739746,-245.8080139,502.2690657
27.32732344,-211.7680054,402.5679932,-256.7059937,522.3070403
27.34735594,-209.1119995,422.0009766,-264.5029907,540.1615357
27.36733752,-210.4380035,439.2529907,-272.256012,557.9880637
27.38733313,-203.9109955,458.0089722,-271.7120056,570.2449707
27.41473467,-186.5820007,483.9179688,-271.0140076,585.1820535
27.42736529,-179.8679962,491.480957,-277.0650024,592.1748414
27.44737675,-168.8760071,499.1480103,-274.1900024,594.0101004
27.47161002,-163.6580048,501.4639893,-273.3200073,594.0992354
27.48738167,-154.9029999,504.8859863,-270.598999,593.4042609
27.50732552,-152.5130005,502.3590088,-266.4970093,588.7660359
27.5273774,-154.5110016,492.3239746,-260.3150024,577.9450199
27.5474496,-158.3170013,482.9060059,-259.9989929,570.8432007
27.56733163,-162.4940033,473.427002,-257.8420105,563.0452288
27.58732544,-168.9889984,462.9679565,-257.8139954,556.2055974
27.60736152,-172.2870026,453.5769653,-255.3479919,548.2859397
27.62735487,-174.625,443.0379639,-252.8210144,539.1613797
27.64737063,-177.2230072,436.2359619,-250.743988,533.46261
27.6674001,-174.4160004,428.6549683,-239.3959961,521.0340353
27.68737494,-170.3309937,427.7999878,-235.0329895,516.9777395
